P,Car,Driver,Lap,LapTime,Diff,Gap,Status,Speed,LSP,Team,Engine,Flag,S1,S1_OT,P2,P2_OT,L4,L4_OT,S2A,S2A_OT,S2,S2_OT,L5,L5_OT,L7,L7_OT,L3,L3_OT,S2B,S2B_OT,T2,T2_OT,S3A,S3A_OT,S3,S3_OT,S3B,S3B_OT,T3,T3_OT,S4A,S4A_OT,S4,S4_OT,PIC,PIC_OT,S4B,S4B_OT,L6,L6_OT,S5,S5_OT,P1,P1_OT,L2,L2_OT,ElapsedTime,GapOnTrack,LeaderLap,TOD,MinimumGap,MinGapOnStraight,Tire,OT_Remain,OT_Used,Track,Ambient,Humidity,Pressure,WindSpeed,WindDirection,WindChill,Brake,Throttle,
14,4,Dalton Kellett,1,291.9155,235.8370,22.2328,P,17.7585636939457,1,AJ Foyt Enterprises,Chevy,G,,,59.6843283476355,False,,,,,,,18.4694,False,47.9271,False,,,8.5919,False,121.062912020835,False,3.2694,False,6.895,False,3.6256,False,105.756469807565,False,9.219,False,,,72.0038679510875,False,,,13.3437,False,,,1.86838001939691,False,244.014,False,305.5552,4.1122,3,13:33:44.234,0.8015,1.6398,Po,0,0,77,71,82,29.33,2,E,0,0,0,
4,51,Pietro Fittipald,2,57.2827,1.2043,0.0536,P,90.4985274786279,1,Dale Coyne Racing w/Rick Ware Racing,Honda,G,,,59.5312400634058,False,,,,,,,18.1259,False,42.1759,False,,,8.5612,False,123.008434864105,False,3.2171,False,6.3846,False,3.1675,False,126.164459083134,False,7.7589,False,,,92.0086589024341,False,,,9.9065,False,,,59.7608458628574,False,15.0795,False,333.9325,28.3775,3,13:34:12.612,2.243,2.243,P,0,0,77,71,82,29.33,1,E,0,0,0,
1,8,Marcus Ericsson,3,54.3631,,,P,95.358800362746,1,Chip Ganassi Racing,Honda,G,,,59.671153512453,False,,,,,,,17.904,False,39.2645,False,,,8.491,False,127.232811096697,False,3.1464,False,5.9307,False,2.7843,False,144.808787500203,False,6.59,False,,,105.372552204121,False,,,8.8398,False,,,59.6808663603305,False,15.0902,False,339.2303,5.2972,3,13:34:17.909,5.2879,5.2972,P,0,0,77,71,82,29.33,1,E,0,0,0,
7,10,Alex Palou,2,66.7107,12.3476,2.9129,P,77.7086734212053,1,Chip Ganassi Racing,Honda,G,,,22.0742165290685,False,,,,,,,17.9786,False,38.4935,False,,,8.5068,False,124.232680502777,False,3.2188,False,5.9661,False,2.7473,False,153.289936966491,False,6.1371,False,,,111.761014135813,False,,,8.4117,False,,,59.667154038015,False,25.264,False,341.1109,1.8786,3,13:34:19.790,1.8786,1.8786,P,0,0,77,71,82,29.33,1,E,0,0,0,
15,9,Scott Dixon,1,295.6857,241.3230,3.7702,P,17.5321295551324,1,Chip Ganassi Racing,Honda,G,,,1.8538109273481,False,,,,,,,18.0313,False,40.3873,False,,,8.5404,False,121.497998856489,False,3.2272,False,6.0747,False,2.8475,False,142.120097453781,False,7.3017,False,,,99.8095149758104,False,,,8.9796,False,,,59.6099529748819,False,15.0912,False,356.0704,14.9611,3,13:34:34.750,0.6888,1.8928,P,0,0,77,71,82,29.33,1,E,0,0,0,
9,2,Josef Newgarden,4,73.512,19.1489,0.9741,P,70.5190989226249,1,Team Penske,Chevy,G,,,17.3427776851457,False,,,,,,,18.2611,False,39.6142,False,,,8.5618,False,120.362503540074,False,3.2543,False,6.0941,False,2.8398,False,147.413451374207,False,6.4114,False,,,106.514286404075,False,,,8.8476,False,,,59.6590909090909,False,680.5835,False,365.5032,9.4329,4,13:34:44.182,3.2842,5.0232,P,0,0,77,71,82,29.33,1,E,0,0,0,
5,10,Alex Palou,3,62.8965,8.5334,5.6138,P,82.4211204121056,1,Chip Ganassi Racing,Honda,G,,,25.7232272345622,False,,,,,,,18.0007,False,37.6409,False,,,8.5005,False,124.844381653121,False,3.2062,False,5.9353,False,2.7291,False,157.241014799154,False,5.8102,False,,,118.671364880404,False,,,7.8947,False,,,59.7349704661696,False,1255.2313,False,404.0074,38.5053,4,13:35:22.686,1.8786,1.8786,P,0,0,78,71,82,29.33,1,E,0,0,0,
2,9,Scott Dixon,2,55.5639,1.2008,1.2008,P,93.2979866424063,1,Chip Ganassi Racing,Honda,G,,,59.7969388225859,False,,,,,,,18.0176,False,40.4811,False,,,8.4936,False,126.874689032625,False,3.1558,False,5.9144,False,2.7586,False,148.846750387752,False,7.2674,False,,,98.1252366598887,False,,,9.2817,False,,,59.6776393645691,False,134.2716,False,411.6343,7.6256,4,13:35:30.313,4.7461,4.7461,P,0,0,78,71,82,29.33,1,E,0,0,0,
16,21,Rinus VeeKay,1,332.0894,277.7260,40.1739,P,15.6102543471728,1,Ed Carpenter Racing,Chevy,G,,,1.62997298146468,False,,,,,,,18.2163,False,42.7281,False,,,8.6659,False,114.972883146328,False,3.6124,False,7.0261,False,3.4137,False,118.707188933963,False,7.5307,False,,,93.0552003606729,False,,,9.955,False,,,59.4430075438302,False,1850.5878,False,420.6037,8.9688,4,13:35:39.283,6.6932,7.3485,P,0,0,78,71,82,29.33,1,E,0,0,0,
17,15,Graham Rahal,1,364.0509,309.6880,31.9615,P,14.2397670215896,1,Rahal Letterman Lanigan Racing,Honda,G,,,1.46127512515149,False,,,,,,,18.162,False,42.1257,False,,,8.5938,False,116.810198151978,False,3.3841,False,6.674,False,3.2899,False,121.008745169819,False,7.825,False,,,94.1098110444576,False,,,9.4647,False,,,59.316816844327,False,15.1541,False,425.5327,4.929,4,13:35:44.212,1.0971,4.929,Po,0,0,78,71,82,29.33,1,E,0,0,0,
13,5,Pato O'Ward,2,208.4973,135.9940,110.4346,P,24.8636313275999,1,Arrow McLaren SP,Chevy,G,,,2.83881718309366,False,,,,,,,18.1957,False,39.2136,False,,,8.7844,False,112.579941218765,False,3.5236,False,6.6101,False,3.0865,False,139.577436154075,False,6.408,False,,,112.996068588406,False,,,7.9998,False,,,59.6228337804406,False,1181.8136,False,458.5041,32.9718,4,13:36:17.183,8.476,8.476,P,0,0,78,71,82,29.33,2,E,0,0,0,
2,15,Graham Rahal,2,55.2507,0.8876,0.8876,P,93.826865541975,1,Rahal Letterman Lanigan Racing,Honda,G,,,59.5929992667291,False,,,,,,,18.0154,False,40.0802,False,,,8.5662,False,119.055559260988,False,3.2995,False,6.2623,False,2.9628,False,134.666163711807,False,7.2129,False,,,102.944513505142,False,,,8.5896,False,,,59.1863995290682,False,1200.132,False,480.7834,22.2699,4,13:36:39.462,4.929,4.929,P,0,0,78,71,82,29.33,2,E,0,0,0,
